[2024-12-02 21:05:59,276] ERROR: ViGEmBus driver is not installed.
[2024-12-02 21:06:37,206] INFO: Downloading ViGEmBus driver installer...
[2024-12-02 21:06:37,799] ERROR: Failed to download or launch ViGEmBus installer: 404 Client Error: Not Found for url: https://github.com/nefarius/ViGEmBus/releases/download/v1.22.0/ViGEmBus_Setup_1.22.0.exe
[2024-12-02 21:19:40,862] ERROR: ViGEmBus driver is not installed.
[2024-12-02 21:19:43,027] ERROR: ViGEmBus installer not found in package.
[2024-12-02 21:20:12,022] ERROR: ViGEmBus driver is not installed.
[2024-12-02 21:20:14,212] INFO: Launching ViGEmBus installer from C:\Users\satya\Documents\zeus-server-load\src\zeus_server_load\ViGEmBus_Setup_1.22.0.exe
[2024-12-02 21:20:30,111] INFO: ViGEmBus installer launched.
[2024-12-02 21:20:36,735] ERROR: ViGEmBus driver is not installed.
[2024-12-02 21:20:44,215] INFO: Launching ViGEmBus installer from C:\Users\satya\Documents\zeus-server-load\src\zeus_server_load\ViGEmBus_Setup_1.22.0.exe
[2024-12-02 21:20:53,604] ERROR: Failed to launch ViGEmBus installer: Command '['C:\\Users\\satya\\Documents\\zeus-server-load\\src\\zeus_server_load\\ViGEmBus_Setup_1.22.0.exe']' returned non-zero exit status 1602.
[2024-12-02 21:20:59,052] ERROR: ViGEmBus driver is not installed.
[2024-12-02 21:54:12,596] INFO: Checking Google Chrome version...
[2024-12-02 21:54:12,663] INFO: Google Chrome version detected: 131.0.6778.86
[2024-12-02 21:54:12,663] INFO: ChromeDriver not found. Downloading...
[2024-12-02 21:54:12,663] INFO: Determining the correct ChromeDriver version...
[2024-12-02 21:54:13,028] INFO: Downloading ChromeDriver from: https://chromedriver.storage.googleapis.com/<?xml version='1.0' encoding='UTF-8'?><Error><Code>NoSuchKey</Code><Message>The specified key does not exist.</Message><Details>No such object: chromedriver/LATEST_RELEASE_131</Details></Error>/chromedriver_win32.zip
[2024-12-02 21:54:13,376] INFO: Extracting ChromeDriver...
[2024-12-02 21:54:13,386] ERROR: Failed to download ChromeDriver: File is not a zip file
[2024-12-02 21:54:13,386] ERROR: Dependency check failed: File is not a zip file
[2024-12-02 22:03:05,045] ERROR: An unexpected error occurred while checking ViGEmBus driver: 'VX360Gamepad' object has no attribute 'disconnect'
[2024-12-02 22:07:36,203] ERROR: An unexpected error occurred while checking ViGEmBus driver: 'VX360Gamepad' object has no attribute 'disconnect'
[2024-12-02 22:07:39,588] INFO: Launching ViGEmBus installer from C:\Users\satya\Documents\zeus-server-load\src\zeus_server_load\ViGEmBus_Setup_1.22.0.exe
[2024-12-02 22:07:57,637] ERROR: Failed to launch ViGEmBus installer: Command '['C:\\Users\\satya\\Documents\\zeus-server-load\\src\\zeus_server_load\\ViGEmBus_Setup_1.22.0.exe']' returned non-zero exit status 1602.
